Date,Away,Home,Attendance,Type
2021-09-08,Tampa Bay Rays,Boston Red Sox,26649,R
2021-09-08,Cincinnati Reds,Chicago Cubs,25861,R
2021-09-08,Minnesota Twins,Cleveland Indians,11037,R
2021-09-08,San Francisco Giants,Colorado Rockies,20358,R
2021-09-08,Seattle Mariners,Houston Astros,19089,R
2021-09-09,Chicago White Sox,Oakland Athletics,5078,R
2021-09-09,Los Angeles Dodgers,St. Louis Cardinals,31173,R
2021-09-09,Colorado Rockies,Philadelphia Phillies,18071,R
2021-09-09,Washington Nationals,Atlanta Braves,23657,R
2021-09-09,New York Mets,Miami Marlins,8075,R
2021-09-09,Toronto Blue Jays,New York Yankees,30112,R
2021-09-09,Kansas City Royals,Baltimore Orioles,5087,R
2021-09-09,Minnesota Twins,Cleveland Indians,11846,R
2021-09-10,Texas Rangers,Oakland Athletics,7157,R
2021-09-10,Washington Nationals,Pittsburgh Pirates,11808,R
2021-09-10,Arizona Diamondbacks,Seattle Mariners,14379,R
2021-09-10,Cincinnati Reds,St. Louis Cardinals,29597,R
2021-09-10,Kansas City Royals,Minnesota Twins,20803,R
2021-09-10,Colorado Rockies,Philadelphia Phillies,22138,R
2021-09-10,Miami Marlins,Atlanta Braves,33850,R
2021-09-10,Boston Red Sox,Chicago White Sox,34365,R
2021-09-10,Toronto Blue Jays,Baltimore Orioles,11751,R
2021-09-10,San Francisco Giants,Chicago Cubs,29439,R
2021-09-10,Milwaukee Brewers,Cleveland Indians,17667,R
2021-09-10,Tampa Bay Rays,Detroit Tigers,18321,R
2021-09-10,Los Angeles Angels,Houston Astros,28740,R
2021-09-10,San Diego Padres,Los Angeles Dodgers,48403,R
2021-09-10,New York Yankees,New York Mets,37288,R
2021-09-11,Texas Rangers,Oakland Athletics,7945,R
2021-09-11,Washington Nationals,Pittsburgh Pirates,17993,R
2021-09-11,Arizona Diamondbacks,Seattle Mariners,15483,R
2021-09-11,Cincinnati Reds,St. Louis Cardinals,33404,R
2021-09-11,Kansas City Royals,Minnesota Twins,19532,R
2021-09-11,Colorado Rockies,Philadelphia Phillies,23232,R
2021-09-11,Miami Marlins,Atlanta Braves,35250,R
2021-09-11,Boston Red Sox,Chicago White Sox,37854,R
2021-09-11,Toronto Blue Jays,Baltimore Orioles,10219,R
2021-09-11,San Francisco Giants,Chicago Cubs,34723,R
2021-09-11,Milwaukee Brewers,Cleveland Indians,20100,R
2021-09-11,Tampa Bay Rays,Detroit Tigers,18842,R
2021-09-11,Los Angeles Angels,Houston Astros,31547,R
2021-09-11,San Diego Padres,Los Angeles Dodgers,46969,R
2021-09-11,New York Yankees,New York Mets,43144,R
2021-09-12,Texas Rangers,Oakland Athletics,6983,R
2021-09-12,Washington Nationals,Pittsburgh Pirates,9714,R
2021-09-12,Arizona Diamondbacks,Seattle Mariners,13551,R
2021-09-12,Cincinnati Reds,St. Louis Cardinals,32872,R
2021-09-12,Kansas City Royals,Minnesota Twins,19496,R
2021-09-12,Colorado Rockies,Philadelphia Phillies,24099,R
2021-09-12,Miami Marlins,Atlanta Braves,27847,R
2021-09-12,Boston Red Sox,Chicago White Sox,36178,R
2021-09-12,Toronto Blue Jays,Baltimore Orioles,8474,R
2021-09-12,San Francisco Giants,Chicago Cubs,32021,R
2021-09-12,Milwaukee Brewers,Cleveland Indians,16332,R
2021-09-12,Tampa Bay Rays,Detroit Tigers,13396,R
2021-09-12,Los Angeles Angels,Houston Astros,28763,R
2021-09-12,San Diego Padres,Los Angeles Dodgers,42637,R
2021-09-12,New York Yankees,New York Mets,33805,R
2021-09-13,Boston Red Sox,Seattle Mariners,18219,R
2021-09-13,San Diego Padres,San Francisco Giants,21078,R
2021-09-13,Houston Astros,Texas Rangers,18903,R
2021-09-13,Tampa Bay Rays,Toronto Blue Jays,12119,R
2021-09-13,Minnesota Twins,New York Yankees,31528,R
2021-09-13,Arizona Diamondbacks,Los Angeles Dodgers,43273,R
2021-09-13,Miami Marlins,Washington Nationals,19759,R
2021-09-13,St. Louis Cardinals,New York Mets,19057,R
2021-09-14,Cincinnati Reds,Pittsburgh Pirates,8896,R
2021-09-14,Boston Red Sox,Seattle Mariners,19887,R
2021-09-14,San Diego Padres,San Francisco Giants,23192,R
2021-09-14,Houston Astros,Texas Rangers,19451,R
2021-09-14,Tampa Bay Rays,Toronto Blue Jays,13103,R
2021-09-14,Cleveland Indians,Minnesota Twins,18905,R
2021-09-14,Chicago Cubs,Philadelphia Phillies,16170,R
2021-09-14,Colorado Rockies,Atlanta Braves,22579,R
2021-09-14,Los Angeles Angels,Chicago White Sox,21848,R
2021-09-14,New York Yankees,Baltimore Orioles,10235,R
2021-09-14,Milwaukee Brewers,Detroit Tigers,12433,R
2021-09-14,Oakland Athletics,Kansas City Royals,10254,R
2021-09-14,Arizona Diamondbacks,Los Angeles Dodgers,44630,R
2021-09-14,Miami Marlins,Washington Nationals,17030,R
2021-09-14,St. Louis Cardinals,New York Mets,21825,R
2021-09-15,Cincinnati Reds,Pittsburgh Pirates,9320,R
2021-09-15,Boston Red Sox,Seattle Mariners,17860,R
2021-09-15,San Diego Padres,San Francisco Giants,21212,R
2021-09-15,Houston Astros,Texas Rangers,20991,R
2021-09-15,Tampa Bay Rays,Toronto Blue Jays,12153,R
2021-09-15,Cleveland Indians,Minnesota Twins,14222,R
2021-09-15,Chicago Cubs,Philadelphia Phillies,16299,R
2021-09-15,Colorado Rockies,Atlanta Braves,21382,R
2021-09-15,Los Angeles Angels,Chicago White Sox,26505,R
2021-09-15,New York Yankees,Baltimore Orioles,10402,R
2021-09-15,Milwaukee Brewers,Detroit Tigers,11321,R
2021-09-15,Oakland Athletics,Kansas City Royals,11056,R
2021-09-15,Arizona Diamondbacks,Los Angeles Dodgers,46520,R
2021-09-15,Miami Marlins,Washington Nationals,16309,R
2021-09-15,St. Louis Cardinals,New York Mets,21001,R
2021-09-16,Cincinnati Reds,Pittsburgh Pirates,9102,R
2021-09-16,San Diego Padres,San Francisco Giants,23379,R
2021-09-16,Detroit Tigers,Tampa Bay Rays,10206,R
2021-09-16,Houston Astros,Texas Rangers,19121,R
2021-09-16,Chicago Cubs,Philadelphia Phillies,20208,R
2021-09-16,Los Angeles Angels,Chicago White Sox,27098,R
2021-09-16,New York Yankees,Baltimore Orioles,20164,R
2021-09-16,Oakland Athletics,Kansas City Royals,11729,R
2021-09-17,Atlanta Braves,San Francisco Giants,26644,R
2021-09-17,San Diego Padres,St. Louis Cardinals,30937,R
2021-09-17,Detroit Tigers,Tampa Bay Rays,16451,R
2021-09-17,Chicago White Sox,Texas Rangers,28288,R
2021-09-17,Minnesota Twins,Toronto Blue Jays,14798,R
2021-09-17,Pittsburgh Pirates,Miami Marlins,7884,R
2021-09-17,Cleveland Indians,New York Yankees,31403,R
2021-09-17,Chicago Cubs,Milwaukee Brewers,28483,R
2021-09-17,Oakland Athletics,Los Angeles Angels,18918,R
2021-09-17,Baltimore Orioles,Boston Red Sox,29811,R
2021-09-17,Los Angeles Dodgers,Cincinnati Reds,28926,R
2021-09-17,Arizona Diamondbacks,Houston Astros,22595,R
2021-09-17,Seattle Mariners,Kansas City Royals,14904,R
2021-09-17,Colorado Rockies,Washington Nationals,21195,R
2021-09-17,Philadelphia Phillies,New York Mets,26967,R
2021-09-18,Atlanta Braves,San Francisco Giants,32058,R
2021-09-18,San Diego Padres,St. Louis Cardinals,40626,R
2021-09-18,Detroit Tigers,Tampa Bay Rays,22921,R
2021-09-18,Chicago White Sox,Texas Rangers,31121,R
2021-09-18,Minnesota Twins,Toronto Blue Jays,14722,R
2021-09-18,Pittsburgh Pirates,Miami Marlins,12300,R
2021-09-18,Cleveland Indians,New York Yankees,39088,R
2021-09-18,Chicago Cubs,Milwaukee Brewers,33625,R
2021-09-18,Oakland Athletics,Los Angeles Angels,27150,R
2021-09-18,Baltimore Orioles,Boston Red Sox,30027,R
2021-09-18,Los Angeles Dodgers,Cincinnati Reds,29861,R
2021-09-18,Arizona Diamondbacks,Houston Astros,25314,R
2021-09-18,Seattle Mariners,Kansas City Royals,20085,R
2021-09-18,Colorado Rockies,Washington Nationals,29315,R
2021-09-18,Philadelphia Phillies,New York Mets,33442,R
2021-09-19,Atlanta Braves,San Francisco Giants,32210,R
2021-09-19,San Diego Padres,St. Louis Cardinals,35326,R
2021-09-19,Detroit Tigers,Tampa Bay Rays,17948,R
2021-09-19,Chicago White Sox,Texas Rangers,24918,R
2021-09-19,Minnesota Twins,Toronto Blue Jays,14601,R
2021-09-19,Pittsburgh Pirates,Miami Marlins,9870,R
2021-09-19,Cleveland Indians,New York Yankees,34110,R
2021-09-19,Chicago Cubs,Milwaukee Brewers,34213,R
2021-09-19,Oakland Athletics,Los Angeles Angels,22456,R
2021-09-19,Baltimore Orioles,Boston Red Sox,27010,R
2021-09-19,Los Angeles Dodgers,Cincinnati Reds,26621,R
2021-09-19,Arizona Diamondbacks,Houston Astros,23888,R
2021-09-19,Seattle Mariners,Kansas City Royals,16872,R
2021-09-19,Colorado Rockies,Washington Nationals,26303,R
2021-09-19,Philadelphia Phillies,New York Mets,24832,R
2021-09-20,Seattle Mariners,Oakland Athletics,4068,R
2021-09-20,Toronto Blue Jays,Tampa Bay Rays,10119,R
2021-09-20,Baltimore Orioles,Philadelphia Phillies,21440,R
2021-09-20,Washington Nationals,Miami Marlins,5383,R
2021-09-20,Texas Rangers,New York Yankees,22160,R
2021-09-20,St. Louis Cardinals,Milwaukee Brewers,28291,R
2021-09-20,Houston Astros,Los Angeles Angels,16070,R
2021-09-20,Atlanta Braves,Arizona Diamondbacks,9642,R
2021-09-20,Pittsburgh Pirates,Cincinnati Reds,17086,R
2021-09-20,Kansas City Royals,Cleveland Indians,11459,R
2021-09-20,Chicago White Sox,Detroit Tigers,12884,R
2021-09-21,Seattle Mariners,Oakland Athletics,4246,R
2021-09-21,San Francisco Giants,San Diego Padres,36439,R
2021-09-21,Toronto Blue Jays,Tampa Bay Rays,9888,R
2021-09-21,Baltimore Orioles,Philadelphia Phillies,18955,R
2021-09-21,Washington Nationals,Miami Marlins,5926,R
2021-09-21,Texas Rangers,New York Yankees,23335,R
2021-09-21,St. Louis Cardinals,Milwaukee Brewers,30475,R
2021-09-21,Houston Astros,Los Angeles Angels,18332,R
2021-09-21,Atlanta Braves,Arizona Diamondbacks,8879,R
2021-09-21,New York Mets,Boston Red Sox,32146,R
2021-09-21,Minnesota Twins,Chicago Cubs,25594,R
2021-09-21,Pittsburgh Pirates,Cincinnati Reds,9475,R
2021-09-21,Kansas City Royals,Cleveland Indians,23341,R
2021-09-21,Los Angeles Dodgers,Colorado Rockies,23869,R
2021-09-21,Chicago White Sox,Detroit Tigers,10585,R
2021-09-22,Seattle Mariners,Oakland Athletics,4149,R
2021-09-22,San Francisco Giants,San Diego Padres,38189,R
2021-09-22,Toronto Blue Jays,Tampa Bay Rays,10994,R
2021-09-22,Baltimore Orioles,Philadelphia Phillies,18133,R
2021-09-22,Washington Nationals,Miami Marlins,5908,R
2021-09-22,Texas Rangers,New York Yankees,25170,R
2021-09-22,St. Louis Cardinals,Milwaukee Brewers,29635,R
2021-09-22,Houston Astros,Los Angeles Angels,14863,R
2021-09-22,Atlanta Braves,Arizona Diamondbacks,10631,R
2021-09-22,New York Mets,Boston Red Sox,30254,R
2021-09-22,Minnesota Twins,Chicago Cubs,24402,R
2021-09-22,Los Angeles Dodgers,Colorado Rockies,27013,R
2021-09-23,Seattle Mariners,Oakland Athletics,4966,R
2021-09-23,San Francisco Giants,San Diego Padres,31049,R
2021-09-23,Toronto Blue Jays,Minnesota Twins,15509,R
2021-09-23,Pittsburgh Pirates,Philadelphia Phillies,16154,R
2021-09-23,St. Louis Cardinals,Milwaukee Brewers,30804,R
2021-09-23,Houston Astros,Los Angeles Angels,19829,R
2021-09-23,Atlanta Braves,Arizona Diamondbacks,6880,R
2021-09-23,Texas Rangers,Baltimore Orioles,6328,R
2021-09-23,Washington Nationals,Cincinnati Reds,11836,R
2021-09-23,Chicago White Sox,Cleveland Indians,11851,R
2021-09-23,Los Angeles Dodgers,Colorado Rockies,22356,R
2021-09-24,Houston Astros,Oakland Athletics,21105,R
2021-09-24,Atlanta Braves,San Diego Padres,33265,R
2021-09-24,Miami Marlins,Tampa Bay Rays,15340,R
2021-09-24,Toronto Blue Jays,Minnesota Twins,18861,R
2021-09-24,Pittsburgh Pirates,Philadelphia Phillies,20548,R
2021-09-24,New York Mets,Milwaukee Brewers,27452,R
2021-09-24,Seattle Mariners,Los Angeles Angels,18551,R
2021-09-24,Los Angeles Dodgers,Arizona Diamondbacks,19001,R
2021-09-24,Texas Rangers,Baltimore Orioles,7935,R
2021-09-24,New York Yankees,Boston Red Sox,36026,R
2021-09-24,St. Louis Cardinals,Chicago Cubs,35020,R
2021-09-24,Washington Nationals,Cincinnati Reds,16021,R
2021-09-24,Chicago White Sox,Cleveland Indians,18576,R
2021-09-24,San Francisco Giants,Colorado Rockies,41613,R
2021-09-24,Kansas City Royals,Detroit Tigers,24877,R
2021-09-25,Houston Astros,Oakland Athletics,13037,R
2021-09-25,Atlanta Braves,San Diego Padres,39026,R
2021-09-25,Miami Marlins,Tampa Bay Rays,23783,R
2021-09-25,Toronto Blue Jays,Minnesota Twins,27183,R
2021-09-25,Pittsburgh Pirates,Philadelphia Phillies,28135,R
2021-09-25,New York Mets,Milwaukee Brewers,35388,R
2021-09-25,Seattle Mariners,Los Angeles Angels,30221,R
2021-09-25,Los Angeles Dodgers,Arizona Diamondbacks,28026,R
2021-09-25,Texas Rangers,Baltimore Orioles,10645,R
2021-09-25,New York Yankees,Boston Red Sox,36103,R
2021-09-25,St. Louis Cardinals,Chicago Cubs,32918,R
2021-09-25,Washington Nationals,Cincinnati Reds,18293,R
2021-09-25,Chicago White Sox,Cleveland Indians,24082,R
2021-09-25,San Francisco Giants,Colorado Rockies,45063,R
2021-09-25,Kansas City Royals,Detroit Tigers,16424,R
2021-09-26,Houston Astros,Oakland Athletics,12288,R
2021-09-26,Atlanta Braves,San Diego Padres,41294,R
2021-09-26,Miami Marlins,Tampa Bay Rays,20826,R
2021-09-26,Toronto Blue Jays,Minnesota Twins,20676,R
2021-09-26,Pittsburgh Pirates,Philadelphia Phillies,29336,R
2021-09-26,New York Mets,Milwaukee Brewers,43430,R
2021-09-26,Seattle Mariners,Los Angeles Angels,22057,R
2021-09-26,Los Angeles Dodgers,Arizona Diamondbacks,16648,R
2021-09-26,Texas Rangers,Baltimore Orioles,13495,R
2021-09-26,New York Yankees,Boston Red Sox,36312,R
2021-09-26,St. Louis Cardinals,Chicago Cubs,26547,R
2021-09-26,Washington Nationals,Cincinnati Reds,21328,R
2021-09-26,Chicago White Sox,Cleveland Indians,21957,R
2021-09-26,San Francisco Giants,Colorado Rockies,31043,R
2021-09-26,Kansas City Royals,Detroit Tigers,23788,R
2021-09-27,Oakland Athletics,Seattle Mariners,11169,R
2021-09-27,Pittsburgh Pirates,Cincinnati Reds,11055,R
2021-09-27,Kansas City Royals,Cleveland Indians,13121,R
2021-09-27,Washington Nationals,Colorado Rockies,20388,R
2021-09-27,Chicago White Sox,Detroit Tigers,11044,R
2021-09-28,Chicago Cubs,Pittsburgh Pirates,9218,R
2021-09-28,Oakland Athletics,Seattle Mariners,12635,R
2021-09-28,Arizona Diamondbacks,San Francisco Giants,28122,R
2021-09-28,Milwaukee Brewers,St. Louis Cardinals,35726,R
2021-09-28,Los Angeles Angels,Texas Rangers,20066,R
2021-09-28,New York Yankees,Toronto Blue Jays,28769,R
2021-09-28,Detroit Tigers,Minnesota Twins,16329,R
2021-09-28,Philadelphia Phillies,Atlanta Braves,29238,R
2021-09-28,Cincinnati Reds,Chicago White Sox,25242,R
2021-09-28,Boston Red Sox,Baltimore Orioles,8098,R
2021-09-28,Washington Nationals,Colorado Rockies,21693,R
2021-09-28,Tampa Bay Rays,Houston Astros,32297,R
2021-09-28,Cleveland Indians,Kansas City Royals,11670,R
2021-09-28,San Diego Padres,Los Angeles Dodgers,52128,R
2021-09-28,Miami Marlins,New York Mets,20647,R
2021-09-29,Chicago Cubs,Pittsburgh Pirates,9236,R
2021-09-29,Oakland Athletics,Seattle Mariners,17366,R
2021-09-29,Arizona Diamondbacks,San Francisco Giants,23110,R
2021-09-29,Milwaukee Brewers,St. Louis Cardinals,35283,R
2021-09-29,Los Angeles Angels,Texas Rangers,23241,R
2021-09-29,New York Yankees,Toronto Blue Jays,29601,R
2021-09-29,Detroit Tigers,Minnesota Twins,17254,R
2021-09-29,Philadelphia Phillies,Atlanta Braves,27664,R
2021-09-29,Cincinnati Reds,Chicago White Sox,23018,R
2021-09-29,Boston Red Sox,Baltimore Orioles,8732,R
2021-09-29,Washington Nationals,Colorado Rockies,20613,R
2021-09-29,Tampa Bay Rays,Houston Astros,28321,R
2021-09-29,Cleveland Indians,Kansas City Royals,10373,R
2021-09-29,San Diego Padres,Los Angeles Dodgers,45366,R
2021-09-29,Miami Marlins,New York Mets,22610,R
2021-09-30,Chicago Cubs,Pittsburgh Pirates,10152,R
2021-09-30,Arizona Diamondbacks,San Francisco Giants,27503,R
2021-09-30,Milwaukee Brewers,St. Louis Cardinals,29161,R
2021-09-30,Los Angeles Angels,Texas Rangers,19960,R
2021-09-30,New York Yankees,Toronto Blue Jays,29659,R
2021-09-30,Detroit Tigers,Minnesota Twins,21186,R
2021-09-30,Philadelphia Phillies,Atlanta Braves,38235,R
2021-09-30,Boston Red Sox,Baltimore Orioles,13012,R
2021-09-30,Tampa Bay Rays,Houston Astros,31608,R
2021-09-30,Cleveland Indians,Kansas City Royals,11288,R
2021-09-30,San Diego Padres,Los Angeles Dodgers,52550,R
2021-09-30,Miami Marlins,New York Mets,24312,R
2021-10-01,Cincinnati Reds,Pittsburgh Pirates,13582,R
2021-10-01,Los Angeles Angels,Seattle Mariners,44169,R
2021-10-01,San Diego Padres,San Francisco Giants,33975,R
2021-10-01,Chicago Cubs,St. Louis Cardinals,41618,R
2021-10-01,Cleveland Indians,Texas Rangers,22700,R
2021-10-01,Baltimore Orioles,Toronto Blue Jays,28855,R
2021-10-01,New York Mets,Atlanta Braves,32659,R
2021-10-01,Detroit Tigers,Chicago White Sox,30729,R
2021-10-01,Philadelphia Phillies,Miami Marlins,8469,R
2021-10-01,Tampa Bay Rays,New York Yankees,41469,R
2021-10-01,Colorado Rockies,Arizona Diamondbacks,15189,R
2021-10-01,Oakland Athletics,Houston Astros,26762,R
2021-10-01,Minnesota Twins,Kansas City Royals,14293,R
2021-10-01,Milwaukee Brewers,Los Angeles Dodgers,51388,R
2021-10-01,Boston Red Sox,Washington Nationals,32521,R
2021-10-02,Cincinnati Reds,Pittsburgh Pirates,22910,R
2021-10-02,Los Angeles Angels,Seattle Mariners,44414,R
2021-10-02,San Diego Padres,San Francisco Giants,40760,R
2021-10-02,Chicago Cubs,St. Louis Cardinals,45239,R
2021-10-02,Cleveland Indians,Texas Rangers,27362,R
2021-10-02,Baltimore Orioles,Toronto Blue Jays,29916,R
2021-10-02,New York Mets,Atlanta Braves,37616,R
2021-10-02,Detroit Tigers,Chicago White Sox,36320,R
2021-10-02,Philadelphia Phillies,Miami Marlins,9655,R
2021-10-02,Tampa Bay Rays,New York Yankees,41648,R
2021-10-02,Colorado Rockies,Arizona Diamondbacks,19418,R
2021-10-02,Oakland Athletics,Houston Astros,29208,R
2021-10-02,Minnesota Twins,Kansas City Royals,22321,R
2021-10-02,Milwaukee Brewers,Los Angeles Dodgers,49705,R
2021-10-02,Boston Red Sox,Washington Nationals,41465,R
2021-10-03,Cincinnati Reds,Pittsburgh Pirates,13011,R
2021-10-03,Los Angeles Angels,Seattle Mariners,44229,R
2021-10-03,San Diego Padres,San Francisco Giants,36901,R
2021-10-03,Chicago Cubs,St. Louis Cardinals,46525,R
2021-10-03,Cleveland Indians,Texas Rangers,28396,R
2021-10-03,Baltimore Orioles,Toronto Blue Jays,29942,R
2021-10-03,New York Mets,Atlanta Braves,33203,R
2021-10-03,Detroit Tigers,Chicago White Sox,30722,R
2021-10-03,Philadelphia Phillies,Miami Marlins,9149,R
2021-10-03,Tampa Bay Rays,New York Yankees,40409,R
2021-10-03,Colorado Rockies,Arizona Diamondbacks,12565,R
2021-10-03,Oakland Athletics,Houston Astros,29752,R
2021-10-03,Minnesota Twins,Kansas City Royals,17158,R
2021-10-03,Milwaukee Brewers,Los Angeles Dodgers,43170,R
2021-10-03,Boston Red Sox,Washington Nationals,33986,R
